Datetime,Tweet Id,Text,Username
2022-08-20 23:59:46+00:00,1561140968560201728,@Misuzuluking Bayede wena weNdlovu,Mseminho_Shandu
2022-08-20 23:57:22+00:00,1561140366417567745,@Misuzuluking Bayede Ndabezitha🤝,Thabani_sa
2022-08-20 23:56:49+00:00,1561140226830901248,Zulu King Misuzulu ka Zwelithini crowned in South Africa https://t.co/ivjAM2S6km,worldnews_guru
2022-08-20 23:55:42+00:00,1561139944579649539,@SadReal93904456 @Misuzuluking The only problem ukuthi he cant talk isizulu kahle😭,Jeff46044381
2022-08-20 23:55:35+00:00,1561139917245358081,"@Misuzuluking Gold and diamonds are not of value to the black nation. 

Their value is created and maintained by the west.

I'm not sure about the east. I doubt.",SbuThePract
2022-08-20 23:54:28+00:00,1561139637858566151,"@Misuzuluking Manje now tht you're a king in full,will you make sure that our land will return back to us or you wont do anything about it?
Another thing kindly watch this and tell me wena from ur side ucabangani https://t.co/v7rRDelDNP",Jeff46044381
2022-08-20 23:52:00+00:00,1561139014253498368,"#20Ago #Sudafrica 
El príncipe Misuzulu Zulu es coronado rey de los zulúes en Sudáfrica https://t.co/ZzHbnyN4g5 https://t.co/GIVI5tjaAs",ReporteYa
2022-08-20 23:50:00+00:00,1561138513155948544,"@Ladyvee66144199 He is the third oldest surviving son of King Goodwill Zwelithini kaBhekuzulu and the first for his Great Wife, Queen Mantfombi Dlamini. King Misuzulu became heir presumptive after the death of his father.",Millionaire_Mam
2022-08-20 23:48:54+00:00,1561138233706151936,@Misuzuluking Umalume King Mswati must be a happy man today. Bayede,farai_katsvanga
2022-08-20 23:48:30+00:00,1561138135836278784,Wena Wezulu @Misuzuluking https://t.co/viv1zsHqxj,SabeloDoc
2022-08-20 23:47:36+00:00,1561137909511733251,@Misuzuluking Ndabezitha 🙌🙌,CelaniMalinga
2022-08-20 23:45:31+00:00,1561137384074448896,"BBC News - Zulu King Misuzulu ka Zwelithini crowned in South Africa
https://t.co/e7yw1yePpc",Violetta66611
2022-08-20 23:43:34+00:00,1561136893332492288,@Misuzuluking Bayese wena wendlovu bayede https://t.co/o9PARpPdUA,NgidiThobani
2022-08-20 23:42:00+00:00,1561136500019978240,"@Misuzuluking Bayede,Halalaaa, siyi Sizwe sakho, Bayede",23Mazwi
2022-08-20 23:41:06+00:00,1561136271841497095,"@Misuzuluking Ndabezitha, bayede wena wendlovu 🙌",NdabezinhleNka2
2022-08-20 23:41:01+00:00,1561136250702233604,@Misuzuluking @NorthNzuzo Bayede!!,GoodmanMabunda
2022-08-20 23:38:20+00:00,1561135575830257665,"@Misuzuluking Sibonga ukuhlonipha isibongo, isandla sidlula ingalo... Bayede😎",Vheekay10
2022-08-20 23:37:33+00:00,1561135379390029832,@Misuzuluking Bayede. Ilobolo akelehle cost of leaving is to high,Simphiwemadi1
2022-08-20 23:35:15+00:00,1561134801742176256,"Majongo thengani imvunulo pls but hhayi eyembuzi akube ingwe nensimba nenkomo cos into ezobe ise Moses Mabhida when the president hands over the certificate to King MisuZulu, you’ve missed the coronation KwaNongoma? do you wanna miss the Moses Mabhida as well? https://t.co/4V1b6l2ygu",ZuluSweG
2022-08-20 23:32:57+00:00,1561134219484692482,"#Sudáfrica | Misuzulu #Zulu, coronado #rey de los zulúes pese a las polémicas #Africa #20agosto #ZuluRoyalFamily https://t.co/KAdifeRUqc",RadioRecorte
2022-08-20 23:32:50+00:00,1561134193102520321,@Misuzuluking Bayede!!,calmebossjosh
2022-08-20 23:32:30+00:00,1561134109400993793,@Misuzuluking Bayede!,BonganiGigaba
2022-08-20 23:32:30+00:00,1561134107526107136,@MkhumaloN @Misuzuluking this Bayede dawg thing is kind disrespectful. Just saying angilwi nawe ungalwi nami futhi... This is the King's tweet respect nje.,iamNqoeCebz_za
2022-08-20 23:32:09+00:00,1561134017981943809,@Misuzuluking Bayede hlanga lomhlabathi.uNkulunkulu abenawe .,Themkosi_Mgazi
2022-08-20 23:31:32+00:00,1561133866068344832,@Misuzuluking UNGISIZE UNGALUBHADI NANGEBHADI e ENGLAND akuyona indawo yakho UNGABAKHOTHAMELI AWUBUYE uZULU NESITHUNZI SAKHE KANYE NOMHLABA WOKHOKHO wena weNDLOVU 🙏 🙏,nokuthulay1
2022-08-20 23:29:39+00:00,1561133391914868737,https://t.co/wnvB4ySsUP | WATCH LIVE | MisuZulu kaZwelithini's crowning ceremony as Zulu king - Learn about cryptoc… https://t.co/A6HeqLtWSv,Jocelyn37812646
2022-08-20 23:29:14+00:00,1561133284767240194,@Misuzuluking Bayede Ndabezitha Wena WeNdlovu 🙌🏽🙌🏽 kubonga thini Nkosi yaMaZulu amahle. 🙌🏽👑,iamNqoeCebz_za
2022-08-20 23:28:57+00:00,1561133215150137346,"ICYMI: AmaZulu King Misuzulu kaZwelithini has thanked and acknowledged all those who have stood with him. The King delivered his first address following the completion of rituals to introduce him to the ancestors.

https://t.co/M6vPEBRxra",SABCNews
2022-08-20 23:27:55+00:00,1561132955979874307,@Misuzuluking Bayede,Thandananizuma
2022-08-20 23:27:50+00:00,1561132934630981634,"Are you thinking it ? ... Don't 😀😂.#HenryCele
.
.
#Shaka #iLembe #ZuluRoyalFamily #InkosiEsibayeni #Misuzulu #gogoskhotheni #BigZulu https://t.co/Gyg3BnsU3w",umbusiziqalo
2022-08-20 23:26:24+00:00,1561132574579298306,@Misuzuluking Dlushiye Royal Kraal https://t.co/lhrdnN0kEW,KhonzaZ
2022-08-20 23:26:09+00:00,1561132510351953921,@Misuzuluking Bayede!,mashobane001
2022-08-20 23:24:54+00:00,1561132195619667969,@Mbatha10 But n the prince misuzulu is not confident about anything,Michael11145983
2022-08-20 23:22:53+00:00,1561131688473858058,PICS | Misuzulu kaZwelithini officially crowned as Zulu king https://t.co/VZALBqCTOs,binar2005
