,Date,User,Tweet
0,2022-08-21 18:52:14+00:00,SiphamandlaGoge,@Noppsy88 @DimitryHlonisky 😂
1,2022-08-21 18:51:53+00:00,SiphamandlaGoge,😅 https://t.co/RBiKCH0mXL
2,2022-08-21 18:46:19+00:00,SiphamandlaGoge,🙈😅 https://t.co/M1mdzbiIz5
3,2022-08-21 18:45:11+00:00,SiphamandlaGoge,@MathewsNtanzi Hahaha.
4,2022-08-21 18:44:07+00:00,SiphamandlaGoge,😂😂 https://t.co/6W85bqZWqj
5,2022-08-21 18:27:01+00:00,SiphamandlaGoge,@_nkala01 Go ahead mfowethu.
6,2022-08-21 18:24:12+00:00,SiphamandlaGoge,@madushu_thusini Ngiyabonga.
7,2022-08-21 18:22:19+00:00,SiphamandlaGoge,"@JoeSindane I doubt. I am of the view that not all journalists make great communicators. I have turned  down a number of offers to join Government, be it provincial or national level."
8,2022-08-21 18:18:17+00:00,SiphamandlaGoge,Not anytime soon my brother. 😂 https://t.co/LM5Qijmqvv
9,2022-08-21 17:19:02+00:00,SiphamandlaGoge,Bayede Nkosi! https://t.co/y0TXI5KuD7
10,2022-08-21 17:14:43+00:00,SiphamandlaGoge,@Mdu37495578 @_AfricanSoil @SDAKHX_GINA Kakhulu.
11,2022-08-21 17:03:25+00:00,SiphamandlaGoge,@BalungileSapo Enkosi.
12,2022-08-21 14:48:27+00:00,SiphamandlaGoge,@themankhosi Okay.
13,2022-08-21 14:44:13+00:00,SiphamandlaGoge,@Tshepis29112427 Thanks.
14,2022-08-21 13:04:43+00:00,SiphamandlaGoge,@SerapaSaGodimo Okay.
15,2022-08-21 12:48:25+00:00,SiphamandlaGoge,@nkosietall 😂😂😂😂 angiyibonanga.
16,2022-08-21 12:46:38+00:00,SiphamandlaGoge,@mokala50 @Sibusisolulane @mfaziwamajaha Yes.
17,2022-08-21 12:39:05+00:00,SiphamandlaGoge,@MagoqozaX Enkosi.
18,2022-08-21 12:38:19+00:00,SiphamandlaGoge,@ZuluMbekezeli Ndaba!
19,2022-08-21 12:36:06+00:00,SiphamandlaGoge,@Netshipride Thanks a lot.
20,2022-08-21 12:35:40+00:00,SiphamandlaGoge,Siyabonga. https://t.co/ibs7Jx6y3U
21,2022-08-21 12:14:01+00:00,SiphamandlaGoge,@nomsa_maseko Ngiyabonga kakhulu KaMaseko.
22,2022-08-21 12:11:51+00:00,SiphamandlaGoge,"@Gamalabantu Hahaha, akakaze asho mina."
23,2022-08-21 12:10:46+00:00,SiphamandlaGoge,@ZimasaMatiwane Thanks a lot my sister. Much appreciated.
24,2022-08-21 11:53:52+00:00,SiphamandlaGoge,@AthiMtongana Thanks a lot my sister.
25,2022-08-21 11:49:12+00:00,SiphamandlaGoge,@morodi_jerry Thank you for watching.
26,2022-08-21 11:48:14+00:00,SiphamandlaGoge,@RestoreMthwakaz @eNCA Siyabonga kakhulu.
27,2022-08-21 11:45:45+00:00,SiphamandlaGoge,@enhle_ngubeni @SibusisoMncwa13 Absolutely!
28,2022-08-21 11:45:14+00:00,SiphamandlaGoge,@enhle_ngubeni I will verify &amp; revert.
29,2022-08-21 11:35:11+00:00,SiphamandlaGoge,@MakayNkathazo It shall be so.
30,2022-08-21 11:34:37+00:00,SiphamandlaGoge,@MoabeloVincent Thanks for watching.
31,2022-08-21 11:28:07+00:00,SiphamandlaGoge,@hlumelos_ntsiki Thank you very much.
32,2022-08-21 11:25:52+00:00,SiphamandlaGoge,@DikgangDk Thank you for watching.
33,2022-08-21 11:21:08+00:00,SiphamandlaGoge,@uThembisa Absolutely!
34,2022-08-21 11:20:34+00:00,SiphamandlaGoge,@Ngqayimbana91 Siyabonga!
35,2022-08-21 11:15:09+00:00,SiphamandlaGoge,"#InkosiEsibayeni I noticed three things KwaKhangela this weekend. It rained on Friday &amp; there was a rainbow later. It was windy on Saturday (when the King left uguqa &amp; entered inhlambelo) covered in wet lion skin. Of course, it all depends on interpretation. Indlulamithi! #eNCA https://t.co/e5yksZOijn"
36,2022-08-21 10:09:28+00:00,SiphamandlaGoge,@SthembileCel Hahahah.
37,2022-08-21 08:45:38+00:00,SiphamandlaGoge,@ZiyandaNgcobo @Ngqayimbana91 Wayengiphazamisa bakithi 😂
38,2022-08-21 07:56:39+00:00,SiphamandlaGoge,@Ngqayimbana91 Only if I watermarked this video 😂
39,2022-08-20 21:51:03+00:00,SiphamandlaGoge,@robertmarawa Ngiyabonga bhuti.
40,2022-08-20 20:54:24+00:00,SiphamandlaGoge,#InkosiEsibayeni Members of the royal family and amabutho inside the kraal KwaKhangelamankengane. #eNCA https://t.co/Zk5XI83XTb
41,2022-08-20 19:57:43+00:00,SiphamandlaGoge,#InkosiEsibayeni Inside esibayeni KwaKhangelamankengane Royal Palace. #eNCA https://t.co/MOOcWtnC21
42,2022-08-20 19:20:37+00:00,SiphamandlaGoge,#InkosiEsibayeni Amabutho KwaKhangelamankengane Royal Palace. #eNCA https://t.co/PlafCIe2M2
43,2022-08-20 19:08:36+00:00,SiphamandlaGoge,@Siya_Hlongwane 😅😅
44,2022-08-20 19:05:04+00:00,SiphamandlaGoge,"#InkosiEsibayeni The moment AmaZulu King, MisuZulu Sinqobile Hlomesakh'isihlangu KaZwelithini emerged inside the kraal after performing rituals. He was given inhlendla yenkosi by Prince Mangosuthu Buthelezi. #eNCA https://t.co/pHYfg2e3c6"
